{\rtf1\ansi\ansicpg1252\cocoartf2580
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww13440\viewh7800\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Temporada, Equipo, Pais, Local\'eda, Resultado, Competencia, Instancia, Latitud, Longitud, Final, Puntos\
2016, Sao Paulo, Brasil, Argentina, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2016, Sao Paulo, Brasil, Brasil, 1-2, Copa Libertadores, Grupo, 00, 00, Perdimos, 0\
2016, The Strongest, Bolivia, Bolivia, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2016, The Strongest, Bolivia, Argentina, 6-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2016, Independiente del Valle, Ecuador, Ecuador, 0-2, Copa Libertadores, Octavos, 00, 00, Perdimos, 0\
2016, Independiente del Valle, Ecuador, Argentina, 1-0, Copa Libertadores, Octavos, 00, 00, Ganamos, 3\
2017, Independiente de Medellin, Colombia, Colombia, 3-1, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2017, Independiente de Medellin, Colombia, Argentina, 1-2, Copa Libertadores, Grupo, 00, 00, Perdimos, 0\
2017, Melgar, Peru, Argentina, 4-2, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2017, Melgar, Peru, Peru, 3-2, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2017, Emelec, Ecuador, Argentina, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2017, Emelec, Ecuador, Ecuador, 2-1, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2017, Guaran\'ed, Paraguay, Paraguay, 2-0, Copa Libertadores, Octavos, 00, 00, Ganamos, 3\
2017, Guaran\'ed, Paraguay, Argentina, 1-1, Copa Libertadores, Octavos, 00, 00, Empatamos, 1\
2017, Jorge Wilstermann, Bolivia, Bolivia, 0-3, Copa Libertadores, Cuartos, 00, 00, Perdimos, 0\
2017, Jorge Wilstermann, Bolivia, Argentina, 8-0, Copa Libertadores, Cuartos, 00, 00, Ganamos, 3\
2018, Flamengo, Brasil, Brasil, 2-2, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2018, Flamengo, Brasil, Argentina, 0-0, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2018, Independiente de Santa Fe, Colombia, Colombia, 1-0, Copa Libertadores, Grupo, 00, 00\
2018, Independiente de Santa Fe, Colombia, Argentina, 0-0, Copa Libertadores, Grupo, 00, 00\
2018, Emelec, Ecuador, Argentina, 2-1, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2018, Emelec, Ecuador, Ecuador, 1-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2018, Gremio, Brasil, Brasil, 2-1, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2018, Gremio, Brasil, Argentina, 0-1, Copa Libertadores, Grupo, 00, 00, Perdimos, 0\
2019, Alianza Lima, Peru, Peru, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2019, Alianza Lima, Peru, Argentina, 3-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2019, Palestino, Chile, Chile, 2-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2019, Palestino, Chile, Argentina, 0-0, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2019, Internacional, Brasil, Argentina, 2-2, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2019, Internacional, Brasil, Brasil, 2-2, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2019, Cruzeiro, Brasil, Brasil, 0-0, Copa Libertadores, Octavos, 00, 00, Empatamos, 1\
2019, Cruzeiro, Brasil, Argentina, 0-0, Copa Libertadores, Octavos, 00, 00, Empatamos, 1\
2019, Cerro Porte\'f1o, Paraguay, Argentina, 2-0, Copa Libertadores, Cuartos, 00, 00, Ganamos, 3\
2019, Cerro Porte\'f1o, Paraguay, Paraguay, 1-1, Copa Libertadores, Cuartos, 00, 00, Empatamos, 1\
2019, Flamengo, Brasil, Peru, 1-2, Copa Libertadores, Final, 00, 00, Empatamos, 1\
2020, Deportivo de Quito, Ecuador, Ecuador, 0-3, Copa Libertadores, Grupo, 00, 00, Perdimos, 0\
2020, Deportivo de Quito, Ecuador, Argentina, 3-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2020, Binacional, Paraguay, Argentina, 8-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2020, Binacional, Paraguay, Paraguay, 6-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2020, Sao Paulo, Brasil, Brasil, 2-2, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2020, Sao Paulo, Brasil, Argentina, 2-1, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2020, Paranaense, Brasil, Brasil, 1-1, Copa Libertadores, Octavos, 00, 00, Empatamos, 1\
2020, Paranaense, Brasil, Argentina, 1-0, Copa Libertadores, Octavos, 00, 00, Ganamos, 3\
2020, Nacional, Paraguay, Paraguay, 6-2, Copa Libertadores, Cuartos, 00, 00, Ganamos, 3\
2020, Nacional, Paraguay, Argentina, 2-0, Copa Libertadores, Cuartos, 00, 00, Ganamos, 3\
2020, Palmeiras, Brasil, Argentina, 0-3, Copa Libertadores, Semis, 00, 00, Perdimos, 0\
2020, Palmeiras, Brasil, Brasil, 2-0, Copa Libertadores, Semis, 00, 00, Ganamos, 3\
2021, Fluminense, Brasil, Brasil, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2021, Fluminense, Brasil, Argentina, 1-3, Copa Libertadores, Grupo, 00, 00, Perdimos, 0\
2021, Junior, Colombia, Argentina, 2-1, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2021, Junior, Colombia, Colombia, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2021, Independiente Santa Fe, Colombia, Colombia, 0-0, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2021, Independiente Santa Fe, Colombia, Argentina, 2-1, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2021, Atletico Mineiro, Brasil, Argentina, 0-1, Copa Libertadores, Cuartos, 00, 00, Perdimos, 0\
2021, Atletico Mineiro, Brasil, Brasil, 0-3, Copa Libertadores, Cuartos, 00, 00, Perdimos, 0\
2018, Al ain,  Emiratos \'c1rabes Unidos,  Emiratos \'c1rabes Unidos, 2-2, Mundial de clubes, Semis, 00, 00, Empatamos, 1\
2018, Kashima Antlers, Japon, Emiratos \'c1rabes Unidos, 4-0, Mundial de clubes, Tercer Puesto, 00, 00, Ganamos, 3\
2015, Gamba Osaka, Japon, Japon, 3-0, Copa Suruga Bank, Final, 00, 00, Ganamos, 3\
2105, Barcelona, Espa\'f1a, Japon, 0-3, Mundial de clubes, Final, 00,00, Perdimos, 0}
